209.778,1.02985
217.212,0.770093
220.756,0.796881
202.394,0.790301
210.361,0.788999
213.808,0.788999
215.829,0.781733
222.79,0.777754
225.793,0.777754
208.14,0.970509
215.641,0.79872
219.43,0.805236
206.669,0.817548
208.692,0.816824
208.704,0.816824
207.783,0.796167
215.347,0.796095
218.719,0.796095
212.419,1.01694
219.82,0.771888
223.247,0.797932
203.382,0.80335
211.343,0.789317
214.744,0.789317
208.929,0.778628
216.623,0.778628
219.709,0.778628
2.40309e+007,184884
226.815,0.574995
149,-48
149,-48
149,-48
149,-48
192,-40
192,-40
192,-40
192,-41
216.002,0.77491
156,-48
157,-48
157,-48
157,-48
182,-43
181,-43
181,-44
181,-44
211.102,0.789491
151,-48
152,-48
152,-48
152,-48
192,-44
191,-44
191,-44
191,-44
215.25,0.792299
154,-48
155,-48
155,-48
155,-48
178,-43
178,-44
178,-44
178,-44
218.794,0.783646
160,-48
160,-48
160,-48
160,-48
181,-42
180,-43
180,-43
180,-44
223.928,0.774607
166,-48
166,-48
166,-48
166,-48
190,-43
190,-44
190,-44
190,-44
228.206,0.702445
168,-48
168,-48
168,-48
168,-48
193,-40
192,-42
192,-42
192,-43
221.931,0.794882
156,-48
156,-48
156,-48
157,-48
183,-43
183,-43
183,-44
183,-44
211.948,0.793455
147,-48
147,-48
147,-48
147,-48
182,-42
182,-43
182,-43
182,-43
207.044,0.796152
151,-48
151,-48
151,-48
152,-48
207,-43
207,-43
207,-44
207,-44
208.458,0.799053
153,-48
153,-48
153,-48
153,-48
186,-44
174,-44
171,-44
171,-44
212.367,0.802244
152,-48
152,-48
152,-48
152,-48
207,-40
207,-40
207,-40
207,-41
220.858,0.798153
159,-48
159,-48
159,-48
159,-48
207,-44
207,-44
207,-44
207,-44
224.513,0.789004
166,-48
166,-48
167,-48
167,-48
186,-43
186,-43
186,-44
186,-44
221.4,0.806766
155,-48
156,-48
156,-48
156,-48
182,-41
182,-42
182,-43
182,-43
209.107,0.804442
152,-48
152,-48
152,-48
152,-48
193,-44
193,-44
193,-44
192,-44
207.663,0.82422
156,-48
156,-48
156,-48
156,-48
203,-44
203,-44
203,-44
202,-44
209.287,0.823079
158,-48
158,-48
158,-48
158,-48
205,-44
205,-44
205,-44
205,-44
208.453,0.817084
157,-48
157,-48
157,-48
157,-48
206,-44
205,-44
205,-44
205,-44
215.618,0.805733
154,-48
155,-48
155,-48
155,-48
199,-44
196,-44
195,-44
194,-44
222.042,0.797802
164,-48
165,-48
165,-48
165,-48
191,-43
191,-44
190,-44
190,-44
222.45,0.803551
149,-48
150,-48
151,-48
152,-48
183,-40
183,-40
183,-41
182,-41
212.141,0.81524
151,-48
151,-48
151,-48
151,-48
195,-44
191,-44
188,-44
186,-44
208.132,0.828079
156,-48
156,-48
156,-48
156,-48
205,-44
205,-44
205,-44
205,-44
210.312,0.833884
159,-48
159,-48
159,-48
160,-48
206,-44
206,-44
206,-44
206,-44
209.158,0.824923
158,-48
158,-48
158,-48
158,-48
206,-43
206,-43
206,-43
206,-43
212.947,0.812019
154,-48
154,-48
154,-48
154,-48
204,-43
203,-44
201,-44
201,-44
219.439,0.799478
163,-48
163,-48
163,-48
164,-48
188,-43
188,-44
188,-44
188,-44
224.02,0.810641
166,-48
166,-48
166,-48
166,-48
184,-44
183,-44
183,-44
183,-44
214.7,0.810376
155,-48
156,-48
156,-48
156,-48
177,-43
177,-44
177,-44
177,-44
207.595,0.823329
152,-48
152,-48
152,-48
152,-48
202,-44
199,-44
199,-44
199,-44
206.151,0.822811
154,-48
154,-48
154,-48
154,-48
205,-43
204,-43
204,-43
204,-44
205.908,0.821356
153,-48
153,-48
153,-48
153,-48
203,-44
202,-44
202,-44
202,-44
213.827,0.804238
154,-48
155,-48
155,-48
155,-48
188,-44
185,-44
185,-44
183,-44
218.962,0.799145
162,-48
162,-48
162,-48
163,-48
180,-43
180,-44
179,-44
179,-44
224.266,0.802277
168,-48
168,-48
168,-48
168,-48
184,-43
184,-44
183,-44
183,-44
218.067,0.790637
157,-48
158,-48
158,-48
158,-48
205,-44
205,-44
205,-44
205,-44
212.667,0.802314
155,-48
155,-48
155,-48
155,-48
207,-44
207,-44
207,-44
207,-44
211.633,0.804654
150,-48
150,-48
150,-48
151,-48
173,-44
172,-44
172,-44
172,-44
210.783,0.804223
152,-48
153,-48
153,-48
153,-48
207,-44
207,-44
207,-44
207,-44
215.54,0.793994
158,-48
158,-48
158,-48
158,-48
207,-44
207,-44
207,-45
207,-45
219.069,0.783786
162,-48
162,-48
162,-48
162,-48
180,-41
180,-41
180,-41
180,-42
224.377,0.777851
165,-48
165,-48
165,-48
166,-48
187,-43
186,-43
186,-43
186,-43
217.237,0.780423
161,-48
161,-48
161,-48
161,-48
205,-44
204,-45
204,-45
204,-45
214.401,0.788023
150,-48
151,-48
151,-48
152,-48
207,-43
207,-43
207,-44
207,-44
216.426,0.783223
159,-48
159,-48
160,-48
160,-48
176,-44
176,-44
175,-44
175,-44
213.236,0.788693
153,-48
153,-48
154,-48
154,-48
207,-44
207,-45
207,-45
207,-45
215.295,0.737382
147,-48
148,-48
148,-48
148,-48
207,-44
207,-44
207,-44
207,-44
220.111,0.751461
160,-48
160,-48
160,-48
160,-48
182,-41
182,-41
182,-42
182,-42
